Date : 2023-12-16 10:18:37
Directory : /Users/kamrantailor/Documents/Programing/porkPie
Total : 90 files,  4795 codes, 241 comments, 585 blanks, all 5621 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| public/privilagedContent/gaming/fortnite/stats                                                                         |          3 |        214 |         11 |         31 |        256 |
| public/privilagedContent/gaming/fortnite/upcomingcosmetics                                                             |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/gaming/pokemon                                                                                |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/music                                                                                         |          4 |         71 |          6 |          8 |         85 |
| public/privilagedContent/music (Files)                                                                                 |          1 |         43 |          2 |          4 |         49 |
| public/privilagedContent/music/taylorSwift                                                                             |          3 |         28 |          4 |          4 |         36 |
| public/privilagedContent/music/taylorSwift (Files)                                                                     |          2 |         14 |          2 |          3 |         19 |
| public/privilagedContent/music/taylorSwift/extra                                                                       |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/other                                                                                         |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/space                                                                                         |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/transport                                                                                     |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/tubeTime                                                                                      |         12 |        243 |         20 |         26 |        289 |
| public/privilagedContent/tubeTime (Files)                                                                              |          1 |         53 |          2 |          3 |         58 |
| public/privilagedContent/tubeTime/bus_times                                                                            |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/tubeTime/journey_planner                                                                      |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/tubeTime/road_disruptions                                                                     |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/tubeTime/santander_cycles                                                                     |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/tubeTime/train_status                                                                         |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/tubeTime/train_times                                                                          |          6 |        120 |          8 |         18 |        146 |
| public/privilagedContent/tubeTime/train_times (Files)                                                                  |          3 |         76 |          3 |         11 |         90 |
| public/privilagedContent/tubeTime/train_times/times                                                                    |          3 |         44 |          5 |          7 |         56 |
| public/userSettings                                                                                                    |          1 |         14 |          2 |          1 |         17 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                               | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/kamrantailor/Documents/Programing/porkPie/README.md                                                             | Markdown   |          3 |          0 |          3 |          6 |
| /Users/kamrantailor/Documents/Programing/porkPie/apiRequests/fortnite/fn_get.js                                        | JavaScript |         56 |          5 |         10 |         71 |
| /Users/kamrantailor/Documents/Programing/porkPie/apiRequests/fortnite/stats.js                                         | JavaScript |         30 |          5 |         10 |         45 |
| /Users/kamrantailor/Documents/Programing/porkPie/apiRequests/pageinit.js                                               | JavaScript |         20 |          2 |          9 |         31 |
| /Users/kamrantailor/Documents/Programing/porkPie/apiRequests/secureCheck.js                                            | JavaScript |         22 |          1 |          8 |         31 |
| /Users/kamrantailor/Documents/Programing/porkPie/apiRequests/tfl/stopPoint.js                                          | JavaScript |         36 |          3 |          8 |         47 |
| /Users/kamrantailor/Documents/Programing/porkPie/apiRequests/user.js                                                   | JavaScript |         60 |          6 |         11 |         77 |
| /Users/kamrantailor/Documents/Programing/porkPie/apiRequests/userVerfication.js                                        | JavaScript |         37 |          4 |         13 |         54 |
| /Users/kamrantailor/Documents/Programing/porkPie/index.js                                                              | JavaScript |         25 |          6 |          8 |         39 |
| /Users/kamrantailor/Documents/Programing/porkPie/package-lock.json                                                     | JSON       |      1,297 |          0 |          1 |      1,298 |
| /Users/kamrantailor/Documents/Programing/porkPie/package.json                                                          | JSON       |         21 |          0 |          1 |         22 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/404.html                                                       | HTML       |         13 |          2 |          1 |         16 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/admin/addnewsstorys/index.html                                 | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/admin/editclientpins/index.html                                | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/admin/editupdates/index.html                                   | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/admin/index.html                                               | HTML       |         43 |          2 |          2 |         47 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/admin/script.js                                                | JavaScript |         52 |          1 |          9 |         62 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/admin/updatedependencies/index.html                            | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/admin/userpermisions/index.html                                | HTML       |         53 |          2 |         14 |         69 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/admin/userpermisions/script.js                                 | JavaScript |         27 |          0 |          2 |         29 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/admin/userpermisions/style.css                                 | CSS        |         25 |          0 |          6 |         31 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/dashboard/index.html                                           | HTML       |         31 |          2 |          1 |         34 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/dashboard/script.js                                            | JavaScript |         69 |          3 |         11 |         83 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/dashboard/style.css                                            | CSS        |         53 |          0 |         14 |         67 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/efc/privacyPolicy/index.html                                   | HTML       |         42 |          2 |          9 |         53 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/efc/sitemap/index.html                                         | HTML       |         82 |          2 |          2 |         86 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/efc/sources/index.html                                         | HTML       |         58 |          2 |          1 |         61 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/efc/termsOfUse/index.html                                      | HTML       |         15 |          2 |          1 |         18 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/efc/versionHistory/index.html                                  | HTML       |          0 |          0 |          1 |          1 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/global.css                                                     | CSS        |        217 |         11 |         48 |        276 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/global.js                                                      | JavaScript |        101 |          2 |         18 |        121 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/global_copy.css                                                | CSS        |        165 |         10 |         36 |        211 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/home/global.css                                                | CSS        |        206 |         11 |         46 |        263 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/home/index.html                                                | HTML       |         85 |          6 |         10 |        101 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/home/style.css                                                 | CSS        |         87 |          3 |         18 |        108 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/home/style2.css                                                | CSS        |         38 |          6 |          6 |         50 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/index.html                                                     | HTML       |          1 |          0 |          0 |          1 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/locked/index.html                                              | HTML       |         16 |          2 |          1 |         19 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/login/index.html                                               | HTML       |         54 |          2 |          9 |         65 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/login/local.css                                                | CSS        |         72 |          7 |         12 |         91 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/login/script.js                                                | JavaScript |         75 |          0 |         20 |         95 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/loginCheck.js                                                  | JavaScript |         17 |          0 |          3 |         20 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/avation/index.html                           | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/coded-items/index.html                       | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/aeskeys/index.html           | HTML       |         41 |          2 |          3 |         46 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/aeskeys/script.js            | JavaScript |         27 |          1 |          6 |         34 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/cosmetics/index.html         | HTML       |         46 |          4 |          5 |         55 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/cosmetics/more/index.html    | HTML       |         31 |          3 |          5 |         39 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/cosmetics/more/script.js     | JavaScript |         86 |          3 |         18 |        107 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/cosmetics/script.js          | JavaScript |         36 |         16 |         17 |         69 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/creatorcodes/index.html      | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/index.html                   | HTML       |         58 |          2 |          3 |         63 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/itemshop/countdown.js        | JavaScript |         15 |          6 |          7 |         28 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/itemshop/extra/index.html    | HTML       |         61 |          2 |          4 |         67 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/itemshop/extra/script.js     | JavaScript |         57 |          4 |          8 |         69 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/itemshop/extra/style.css     | CSS        |         12 |          0 |          0 |         12 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/itemshop/index.html          | HTML       |         21 |          2 |          1 |         24 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/itemshop/script.js           | JavaScript |         57 |         11 |         17 |         85 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/itemshop/style.css           | CSS        |         41 |          2 |          5 |         48 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/news/index.html              | HTML       |         56 |          2 |          6 |         64 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/news/script.js               | JavaScript |         21 |          0 |          5 |         26 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/playlists/index.html         | HTML       |         30 |          2 |          2 |         34 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/playlists/script.js          | JavaScript |         12 |          2 |          3 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/stats/index.html             | HTML       |         73 |          5 |          6 |         84 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/stats/script.js              | JavaScript |         92 |          4 |         16 |        112 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/stats/style.css              | CSS        |         49 |          2 |          9 |         60 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/fortnite/upcomingcosmetics/index.html | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/index.html                            | HTML       |         29 |          2 |          1 |         32 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/gaming/pokemon/index.html                    | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/music/index.html                             | HTML       |         43 |          2 |          4 |         49 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/music/taylorSwift/extra/index.html           | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/music/taylorSwift/index.html                 | HTML       |         14 |          2 |          2 |         18 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/music/taylorSwift/script.js                  | JavaScript |          0 |          0 |          1 |          1 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/other/index.html                             | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/space/index.html                             | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/transport/index.html                         | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/tubeTime/bus_times/index.html                | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/tubeTime/index.html                          | HTML       |         53 |          2 |          3 |         58 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/tubeTime/journey_planner/index.html          | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/tubeTime/road_disruptions/index.html         | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/tubeTime/santander_cycles/index.html         | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/tubeTime/train_status/index.html             | HTML       |         14 |          2 |          1 |         17 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/tubeTime/train_times/index.html              | HTML       |         21 |          2 |          2 |         25 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/tubeTime/train_times/script.js               | JavaScript |         27 |          1 |          5 |         33 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/tubeTime/train_times/style.css               | CSS        |         28 |          0 |          4 |         32 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/tubeTime/train_times/times/index.html        | HTML       |         16 |          2 |          1 |         19 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/tubeTime/train_times/times/script.js         | JavaScript |         28 |          3 |          5 |         36 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/privilagedContent/tubeTime/train_times/times/style.css         | CSS        |          0 |          0 |          1 |          1 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/sty.css                                                        | CSS        |         44 |          0 |          8 |         52 |
| /Users/kamrantailor/Documents/Programing/porkPie/public/userSettings/index.html                                        | HTML       |         14 |          2 |          1 |         17 |
| Total                                                                                                                  |            |      4,795 |        241 |        585 |      5,621 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
